rank,name,code,country,birthdate
119,Hugo Gaston,HugoGaston,FRA,2000-09-26
120,Pablo Llamas Ruiz,PabloLlamasRuiz,ESP,2002-10-13
121,Henrique Rocha,HenriqueRocha,POR,2004-04-06
122,Nicolai Budkov Kjaer,NicolaiBudkovKjaer,NOR,2006-09-01
123,Tristan Schoolkate,TristanSchoolkate,AUS,2001-02-26
124,Sebastian Ofner,SebastianOfner,AUT,1996-05-12
125,Mackenzie Mcdonald,MackenzieMcdonald,USA,1995-04-16
126,Francesco Maestrelli,FrancescoMaestrelli,ITA,2002-12-21
127,Alexandre Muller,AlexandreMuller,FRA,1997-02-01
128,Facundo Diaz Acosta,FacundoDiazAcosta,ARG,2000-12-15
129,Shintaro Mochizuki,ShintaroMochizuki,JPN,2003-06-02
130,Vilius Gaubas,ViliusGaubas,LTU,2004-12-29
131,Bu Yunchaokete,BuYunchaokete,CHN,2002-01-19
132,Dane Sweeny,DaneSweeny,AUS,2001-02-12
133,Jack Pinnington Jones,JackPinningtonJones,GBR,2003-03-30
134,Stefano Travaglia,StefanoTravaglia,ITA,1991-12-28
135,Roman Safiullin,RomanSafiullin,RUS,1997-08-07
136,Nishesh Basavareddy,NisheshBasavareddy,USA,2005-05-02
137,Arthur Gea,ArthurGea,FRA,2005-01-02
138,Tomas Barrios Vera,TomasBarriosVera,CHI,1997-12-10
139,Pedro Martinez,PedroMartinez,ESP,1997-04-26
140,Dusan Lajovic,DusanLajovic,SRB,1990-06-30
141,Arthur Fery,ArthurFery,GBR,2002-07-12
142,Moez Echargui,MoezEchargui,TUN,1993-01-10
143,Carlos Taberner,CarlosTaberner,ESP,1997-08-08
144,Billy Harris,BillyHarris,GBR,1995-01-25
145,Jacob Fearnley,JacobFearnley,GBR,2001-07-15
146,Kyrian Jacquet,KyrianJacquet,FRA,2001-05-11
147,Michael Zheng,MichaelZheng,USA,2004-01-27
148,August Holmgren,AugustHolmgren,DEN,1998-04-22
149,Rei Sakamoto,ReiSakamoto,JPN,2006-06-24
150,Toby Samuel,TobySamuel,GBR,2002-09-06
151,Elmer Moller,ElmerMoller,DEN,2003-07-09
152,Jordan Thompson,JordanThompson,AUS,1994-04-20
153,Jurij Rodionov,JurijRodionov,AUT,1999-05-16
154,Mark Lajal,MarkLajal,EST,2003-05-12
155,Stefanos Sakellaridis,StefanosSakellaridis,GRE,2004-09-13
156,Christopher Oconnell,ChristopherOconnell,AUS,1994-06-03
157,Alex Bolt,AlexBolt,AUS,1993-01-05
158,Otto Virtanen,OttoVirtanen,FIN,2001-06-21
159,Luca Nardi,LucaNardi,ITA,2003-08-06
160,Lloyd Harris,LloydHarris,RSA,1997-02-24
161,Juan Carlos Prado Angelo,JuanCarlosPradoAngelo,BOL,2005-03-06
162,Zdenek Kolar,ZdenekKolar,CZE,1996-10-09
163,Liam Draxl,LiamDraxl,CAN,2001-12-05
164,Filip Misolic,FilipMisolic,AUT,2001-08-08
165,Hugo Dellien,HugoDellien,BOL,1993-06-16
166,Francesco Passaro,FrancescoPassaro,ITA,2001-01-07
167,Nicolas Mejia,NicolasMejia,COL,2000-02-11
168,Lukas Neumayer,LukasNeumayer,AUT,2002-09-06
169,Luka Mikrut,LukaMikrut,CRO,2004-04-16
170,Grigor Dimitrov,GrigorDimitrov,BUL,1991-05-16
171,Daniil Glinka,DaniilGlinka,EST,2000-05-12
172,Marco Cecchinato,MarcoCecchinato,ITA,1992-09-30
173,Ugo Blanchet,UgoBlanchet,FRA,1999-01-05
174,Joel Schwaerzler,JoelSchwaerzler,AUT,2006-01-27
175,Timofey Skatov,TimofeySkatov,KAZ,2001-01-21
176,Colton Smith,ColtonSmith,USA,2003-03-05
177,Chris Rodesch,ChrisRodesch,LUX,2001-07-18
178,Borna Gojo,BornaGojo,CRO,1998-02-27
179,Lukas Klein,LukasKlein,SVK,1998-03-22
180,Gonzalo Bueno,GonzaloBueno,PER,2004-04-03
181,Yoshihito Nishioka,YoshihitoNishioka,JPN,1995-09-27
182,Gustavo Heide,GustavoHeide,BRA,2002-02-28
183,Zsombor Piros,ZsomborPiros,HUN,1999-10-13
184,Elias Ymer,EliasYmer,SWE,1996-04-10
185,Federico Cina,FedericoCina,ITA,2007-03-30
186,Gauthier Onclin,GauthierOnclin,BEL,2001-02-26
187,Alexis Galarneau,AlexisGalarneau,CAN,1999-03-02
188,Bernard Tomic,BernardTomic,AUS,1992-10-21
189,Nicolas Jarry,NicolasJarry,CHI,1995-10-11
190,Clement Tabur,ClementTabur,FRA,2000-01-24
191,Roberto Carballes Baena,RobertoCarballesBaena,ESP,1993-03-23
192,Giulio Zeppieri,GiulioZeppieri,ITA,2001-12-07
193,Gianluca Cadenasso,GianlucaCadenasso,ITA,2004-09-29
194,Soon Woo Kwon,SoonWooKwon,KOR,1997-12-02
195,Michael Mmoh,MichaelMmoh,USA,1998-01-10
196,Remy Bertola,RemyBertola,SUI,1998-08-31
197,Alex Barrena,AlexBarrena,ARG,2002-10-10
198,Tristan Boyer,TristanBoyer,USA,2001-04-21
199,Matej Dodig,MatejDodig,CRO,2005-07-19
200,Clement Chidekh,ClementChidekh,FRA,2001-06-13
201,Jerome Kym,JeromeKym,SUI,2003-02-12
202,Genaro Alberto Olivieri,GenaroAlbertoOlivieri,ARG,1998-08-04
203,Juan Pablo Ficovich,JuanPabloFicovich,ARG,1997-01-24
204,Harold Mayot,HaroldMayot,FRA,2002-02-04
205,Joao Lucas Reis Da Silva,JoaoLucasReisDaSilva,BRA,2000-03-26
206,Yu Hsiou Hsu,YuHsiouHsu,TPE,1999-04-02
207,Luka Pavlovic,LukaPavlovic,FRA,2000-03-30
208,Gilles Arnaud Bailly,GillesArnaudBailly,BEL,2005-09-19
209,Liam Broady,LiamBroady,GBR,1994-01-04
210,Lautaro Midon,LautaroMidon,ARG,2004-03-29
211,Lorenzo Giustino,LorenzoGiustino,ITA,1991-09-10
212,Kimmer Coppejans,KimmerCoppejans,BEL,1994-02-07
213,Federico Agustin Gomez,FedericoAgustinGomez,ARG,1996-11-26
214,Zhizhen Zhang,ZhizhenZhang,CHN,1996-10-16
215,Vitaliy Sachko,VitaliySachko,UKR,1997-07-14
216,Moise Kouame,MoiseKouame,FRA,2009-03-06
217,Daniel Evans,DanielEvans,GBR,1990-05-23
218,Justin Engel,JustinEngel,GER,2007-10-01
219,Darwin Blanch,DarwinBlanch,USA,2007-09-28
220,Felix Gill,FelixGill,GBR,2002-06-01
221,Pol Martin Tiffon,PolMartinTiffon,ESP,1999-07-30
222,Hugo Grenier,HugoGrenier,FRA,1996-03-23
223,Rio Noguchi,RioNoguchi,JPN,1998-12-28
224,Harry Wendelken,HarryWendelken,GBR,2001-12-18
225,Laslo Djere,LasloDjere,SRB,1995-06-02
226,Nikolas Sanchez Izquierdo,NikolasSanchezIzquierdo,ESP,1999-03-15
227,Franco Roncadelli,FrancoRoncadelli,URU,2000-02-06
228,Oliver Crawford,OliverCrawford,GBR,1999-04-30
229,Tom Gentzsch,TomGentzsch,GER,2003-09-05
230,Edas Butvilas,EdasButvilas,LTU,2004-07-23
231,Andrea Guerrieri,AndreaGuerrieri,ITA,1998-12-03
232,Pierre Hugues Herbert,PierreHuguesHerbert,FRA,1991-03-18
233,James Mccabe,JamesMccabe,AUS,2003-07-05
234,Max Houkes,MaxHoukes,NED,2000-07-03
235,Frederico Ferreira Silva,FredericoFerreiraSilva,POR,1995-03-18
236,Alejandro Moro Canas,AlejandroMoroCanas,ESP,2000-12-07
237,Raul Brancaccio,RaulBrancaccio,ITA,1997-05-04
238,Henri Squire,HenriSquire,GER,2000-09-27
239,Dan Added,DanAdded,FRA,1999-04-13
240,Andres Andrade,AndresAndrade,ECU,1998-12-14
241,Pedro Boscardin Dias,PedroBoscardinDias,BRA,2003-01-28
242,David Goffin,DavidGoffin,BEL,1990-12-07
243,Stefano Napolitano,StefanoNapolitano,ITA,1995-04-11
244,Guy Den Ouden,GuyDenOuden,NED,2002-04-08
245,Chun Hsin Tseng,ChunHsinTseng,TPE,2001-08-08
246,Franco Agamenone,FrancoAgamenone,ITA,1993-04-15
247,Jay Clarke,JayClarke,GBR,1998-07-27
248,Pavel Kotov,PavelKotov,RUS,1998-11-18
249,Hynek Barton,HynekBarton,CZE,2004-04-05
250,Philip Henning,PhilipHenning,RSA,2000-11-10
251,Yi Zhou,YiZhou,CHN,2005-03-14
252,Keegan Smith,KeeganSmith,USA,1998-06-23
253,Kaichi Uchida,KaichiUchida,JPN,1994-08-23
254,Guido Ivan Justo,GuidoIvanJusto,ARG,1997-12-17
255,Andrej Nedic,AndrejNedic,BIH,2004-10-16
256,Florent Bax,FlorentBax,FRA,1999-06-16
257,Andre Ilagan,AndreIlagan,USA,2000-11-16
258,David Jorda Sanchis,DavidJordaSanchis,ESP,1994-06-14
259,Gael Monfils,GaelMonfils,FRA,1986-09-01
260,Fajing Sun,FajingSun,CHN,1996-10-03
261,Buvaysar Gadamauri,BuvaysarGadamauri,BEL,2000-07-10
262,Diego Dedura Palomero,DiegoDeduraPalomero,GER,2008-03-12
263,Filip Cristian Jianu,FilipCristianJianu,ROU,2001-09-18
264,Juncheng Shang,JunchengShang,CHN,2005-02-02
265,Stefan Dostanic,StefanDostanic,USA,2001-11-04
266,Alvaro Guillen Meza,AlvaroGuillenMeza,ECU,2003-01-02
267,Nerman Fatic,NermanFatic,BIH,1994-10-24
268,Martin Krumich,MartinKrumich,CZE,2002-12-26
269,Alastair Gray,AlastairGray,GBR,1998-06-22
270,Rodrigo Pacheco Mendez,RodrigoPachecoMendez,MEX,2005-04-25
271,Miguel Damas,MiguelDamas,ESP,1999-12-21
272,Murphy Cassone,MurphyCassone,USA,2002-08-16
273,Petr Bar Biryukov,PetrBarBiryukov,RUS,2002-02-28
274,Johannus Monday,JohannusMonday,GBR,2002-01-22
275,Max Alcala Gurri,MaxAlcalaGurri,ESP,2002-09-11
276,Calvin Hemery,CalvinHemery,FRA,1995-01-28
277,George Loffhagen,GeorgeLoffhagen,GBR,2001-04-19
278,Sumit Nagal,SumitNagal,IND,1997-08-16
279,Charles Broom,CharlesBroom,GBR,1998-04-24
280,Sascha Gueymard Wayenburg,SaschaGueymardWayenburg,FRA,2003-08-01
281,Maks Kasnikowski,MaksKasnikowski,POL,2003-07-06
282,Juan Bautista Torres,JuanBautistaTorres,ARG,2002-04-02
283,Daniel Rincon,DanielRincon,ESP,2003-01-07
284,Dali Blanch,DaliBlanch,USA,2003-03-05
285,Michele Ribecai,MicheleRibecai,ITA,2003-02-04
286,Robin Bertrand,RobinBertrand,FRA,2003-03-15
287,Kilian Feldbausch,KilianFeldbausch,SUI,2005-09-07
288,Thiago Monteiro,ThiagoMonteiro,BRA,1994-05-31
289,Duje Ajdukovic,DujeAjdukovic,CRO,2001-02-05
290,Juan Manuel La Serna,JuanManuelLaSerna,ARG,2004-02-05
291,Cezar Cretu,CezarCretu,ROU,2001-04-24
292,Yosuke Watanuki,YosukeWatanuki,JPN,1998-04-12
293,Taro Daniel,TaroDaniel,JPN,1993-01-27
294,Giles Hussey,GilesHussey,GBR,1997-05-26
295,Inaki Montes De La Torre,InakiMontesDeLaTorre,ESP,2002-10-03
296,Daniel Michalski,DanielMichalski,POL,2000-01-11
297,Sergey Fomin,SergeyFomin,UZB,2001-02-01
298,Lilian Marmousez,LilianMarmousez,FRA,2002-01-03
299,Thiago Seyboth Wild,ThiagoSeybothWild,BRA,2000-03-10
300,Beibit Zhukayev,BeibitZhukayev,KAZ,2000-10-12
301,Ilia Simakin,IliaSimakin,RUS,2003-10-27
302,Antoine Ghibaudo,AntoineGhibaudo,FRA,2005-01-25
303,Mikhail Kukushkin,MikhailKukushkin,KAZ,1987-12-26
304,Andrea Collarini,AndreaCollarini,ARG,1992-01-31
305,Murkel Alejandro Dellien Velasco,MurkelAlejandroDellienVelasco,BOL,1997-09-16
306,Tiago Pereira,TiagoPereira,POR,2004-06-20
307,Juan Pablo Varillas,JuanPabloVarillas,PER,1995-10-06
308,Abedallah Shelbayh,AbedallahShelbayh,JOR,2003-11-16
309,Akira Santillan,AkiraSantillan,AUS,1997-05-22
310,Hamish Stewart,HamishStewart,GBR,1999-07-30
311,Eliakim Coulibaly,EliakimCoulibaly,CIV,2002-05-05
312,Maxim Mrva,MaximMrva,CZE,2007-08-02
313,Alex Martinez,AlexMartinez,ESP,2001-03-19
314,Jonas Forejtek,JonasForejtek,CZE,2001-03-10
315,Andres Martin,AndresMartin,USA,2001-07-07
316,Matias Soto,MatiasSoto,CHI,1999-04-27
317,Blaise Bicknell,BlaiseBicknell,JAM,2001-11-26
318,Thomas Faurel,ThomasFaurel,FRA,2006-01-21
319,Stefan Kozlov,StefanKozlov,USA,1998-02-01
320,Marc Andrea Huesler,MarcAndreaHuesler,SUI,1996-06-24
321,Philip Sekulic,PhilipSekulic,AUS,2003-09-05
322,Yasutaka Uchiyama,YasutakaUchiyama,JPN,1992-08-05
323,Igor Ribeiro Marcondes,IgorRibeiroMarcondes,BRA,1997-06-16
324,Braden Shick,BradenShick,USA,2003-10-24
325,Paul Jubb,PaulJubb,GBR,1999-10-31
326,Max Basing,MaxBasing,GBR,2002-10-02
327,Oriol Roca Batalla,OriolRocaBatalla,ESP,1993-04-30
328,Tyler Zink,TylerZink,USA,2001-01-30
329,Yanki Erel,YankiErel,TUR,2000-09-25
330,Michael Geerts,MichaelGeerts,BEL,1995-01-17
331,Marko Topo,MarkoTopo,GER,2003-09-13
332,Max Schoenhaus,MaxSchoenhaus,GER,2007-08-01
333,Mert Alkaya,MertAlkaya,TUR,2000-06-14
334,Sandro Kopp,SandroKopp,AUT,2000-05-26
335,Matteo Martineau,MatteoMartineau,FRA,1999-01-16
336,Cedrik Marcel Stebe,CedrikMarcelStebe,GER,1990-10-09
337,Mili Poljicak,MiliPoljicak,CRO,2004-07-13
338,Facundo Mena,FacundoMena,ARG,1992-09-22
339,Tung Lin Wu,TungLinWu,TPE,1998-05-12
340,Jacopo Vasami,JacopoVasami,ITA,2007-12-09
341,Federico Bondioli,FedericoBondioli,ITA,2005-05-16
342,Oliver Tarvet,OliverTarvet,GBR,2003-10-29
343,Hayato Matsuoka,HayatoMatsuoka,JPN,2005-01-15
344,Dominic Stricker,DominicStricker,SUI,2002-08-16
345,Mats Rosenkranz,MatsRosenkranz,GER,1998-08-23
346,Henry Searle,HenrySearle,GBR,2006-03-29
347,Daniel Elahi Galan,DanielElahiGalan,COL,1996-06-18
348,Mitchell Krueger,MitchellKrueger,USA,1994-01-12
349,Ivan Gakhov,IvanGakhov,RUS,1996-11-04
350,Petr Brunclik,PetrBrunclik,CZE,2006-07-17
351,Daniel Milavsky,DanielMilavsky,USA,2001-09-12
352,Yuta Shimizu,YutaShimizu,JPN,1999-06-09
353,Carlo Alberto Caniato,CarloAlbertoCaniato,ITA,2005-10-31
354,Luca Castelnuovo,LucaCastelnuovo,SUI,1997-01-29
355,Filippo Romano,FilippoRomano,ITA,2005-07-07
356,Ioannis Xilas,IoannisXilas,GRE,2001-05-12
357,Dimitar Kuzmanov,DimitarKuzmanov,BUL,1993-07-28
358,Ognjen Milic,OgnjenMilic,SRB,2007-06-22
359,Marc Polmans,MarcPolmans,AUS,1997-05-02
360,Marvin Moeller,MarvinMoeller,GER,1999-01-18
361,Nicolas Kicker,NicolasKicker,ARG,1992-08-16
362,Ryan Peniston,RyanPeniston,GBR,1995-11-10
363,Justin Boulais,JustinBoulais,CAN,2001-10-20
364,Marek Gengel,MarekGengel,CZE,1995-09-17
365,Norbert Gombos,NorbertGombos,SVK,1990-08-13
366,Tom Paris,TomParis,FRA,2002-09-02
367,Li Tu,LiTu,AUS,1996-05-27
368,Geoffrey Blancaneaux,GeoffreyBlancaneaux,FRA,1998-08-08
369,Garrett Johns,GarrettJohns,USA,2000-12-17
370,Mika Brunold,MikaBrunold,SUI,2004-10-02
371,Tommaso Compagnucci,TommasoCompagnucci,ITA,1999-11-05
372,Daniel Masur,DanielMasur,GER,1994-11-06
373,Manas Dhamne,ManasDhamne,IND,2007-12-29
374,Kasidit Samrej,KasiditSamrej,THA,2001-01-20
375,Florian Broska,FlorianBroska,GER,1998-01-01
376,Anton Matusevich,AntonMatusevich,GBR,2001-05-30
377,Mathys Erhard,MathysErhard,FRA,2001-10-26
378,Vadym Ursu,VadymUrsu,UKR,1997-01-01
379,James Trotter,JamesTrotter,JPN,1999-07-29
380,Renta Tokuda,RentaTokuda,JPN,1998-03-29
381,Marat Sharipov,MaratSharipov,RUS,2002-10-09
382,Andrew Fenty,AndrewFenty,USA,2000-03-08
383,Santiago Fa Rodriguez Taverna,SantiagoFaRodriguezTaverna,ARG,1999-07-16
384,Alex Rybakov,AlexRybakov,USA,1997-01-27
385,Juan Estevez,JuanEstevez,ARG,2005-09-22
386,Eduardo Ribeiro,EduardoRibeiro,BRA,1998-03-17
387,Oleg Prihodko,OlegPrihodko,UKR,1997-10-03
388,Gabriele Piraino,GabrielePiraino,ITA,2003-11-12
389,Carlos Sanchez Jover,CarlosSanchezJover,ESP,2000-07-21
390,Nick Hardt,NickHardt,DOM,2000-09-20
391,Jacopo Berrettini,JacopoBerrettini,ITA,1998-11-27
392,Lucas Poullain,LucasPoullain,FRA,1995-12-05
393,Arthur Weber,ArthurWeber,FRA,1992-05-09
394,Patrick Zahraj,PatrickZahraj,GER,1999-07-17
395,Moerani Bouzige,MoeraniBouzige,AUS,1999-07-13
396,Francesco Forti,FrancescoForti,ITA,1999-07-26
397,Petr Nesterov,PetrNesterov,BUL,2003-03-07
398,Samuele Pieri,SamuelePieri,ITA,2002-02-28
399,Arthur Nagel,ArthurNagel,FRA,2003-04-14
400,Gonzalo Villanueva,GonzaloVillanueva,ARG,1995-01-13
401,Jay Dylan Hara Friend,JayDylanHaraFriend,JPN,2003-12-22
402,Lui Maxted,LuiMaxted,GBR,2003-12-02
403,Javier Barranco Cosano,JavierBarrancoCosano,ESP,1998-11-17
404,Gabi Adrian Boitan,GabiAdrianBoitan,ROU,1999-07-11
405,Matthew Dellavedova,MatthewDellavedova,AUS,2000-05-30
406,Hernan Casanova,HernanCasanova,ARG,1994-02-06
407,San Hui Sin,SanHuiSin,KOR,1997-03-18
408,Luciano Emanuel Ambrogi,LucianoEmanuelAmbrogi,ARG,2003-11-19
409,Raphael Perot,RaphaelPerot,FRA,2001-06-30
410,Stefan Palosi,StefanPalosi,ROU,2000-01-28
411,"Jack Kennedy</a></td><td align=""left"">USA</td><td align=""right""></td></tr><tr><td align=""right"">412</td><td align=""left""><a href=""https://www.tennisabstract.com/cgi-bin/player.cgi?p=FelixBalshaw"">Felix Balshaw",JackKennedy,FRA,2006-06-15
413,Cyril Vandermeersch,CyrilVandermeersch,FRA,1999-05-06
414,Semen Pankin,SemenPankin,RUS,1999-09-04
415,Daniel Dutra Da Silva,DanielDutraDaSilva,BRA,1988-07-05
416,Andrey Chepelev,AndreyChepelev,RUS,1998-08-02
417,Samir Banerjee,SamirBanerjee,USA,2003-10-02
418,Radu Albot,RaduAlbot,MDA,1989-11-11
419,Matheus Pucinelli De Almeida,MatheusPucinelliDeAlmeida,BRA,2001-04-01
420,Hiroki Moriya,HirokiMoriya,JPN,1990-10-16
421,Maximus Jones,MaximusJones,THA,2004-09-05
422,Sean Cuenin,SeanCuenin,FRA,2004-02-16
423,Corentin Denolly,CorentinDenolly,FRA,1997-06-06
424,Lucio Ratti,LucioRatti,ARG,2004-01-27
425,Andrej Martin,AndrejMartin,SVK,1989-09-20
426,Jack Loge,JackLoge,BEL,2004-11-16
427,Facundo Bagnis,FacundoBagnis,ARG,1990-02-27
428,Trevor Svajda,TrevorSvajda,USA,2006-04-20
429,Bor Artnak,BorArtnak,SLO,2004-06-04
430,Fabrizio Andaloro,FabrizioAndaloro,ITA,2001-01-31
431,Johan Nikles,JohanNikles,SUI,1997-03-23
432,Cannon Kingsley,CannonKingsley,USA,2001-05-06
433,Olle Wallin,OlleWallin,SWE,2001-10-22
434,Jie Cui,JieCui,CHN,1998-01-24
435,Gianmarco Ferrari,GianmarcoFerrari,ITA,2000-10-04
436,Masamichi Imamura,MasamichiImamura,JPN,1998-11-23
437,Edward Winter,EdwardWinter,AUS,2004-09-15
438,Carl Emil Overbeck,CarlEmilOverbeck,DEN,2001-08-11
